PMID,TI,AB,JT
39834619,An EEG-based framework for automated discrimination of conversion to Alzheimer's disease in patients with amnestic mild cognitive impairment: an 18-month longitudinal study.,"BACKGROUND: As a clinical precursor to Alzheimer's disease (AD), amnestic mild cognitive impairment (aMCI) bears a considerably heightened risk of transitioning to AD compared to cognitively normal elders. Early prediction of whether aMCI will progress to AD is of paramount importance, as it can provide pivotal guidance for subsequent clinical interventions in an early and effective manner. METHODS: A total of 107 aMCI cases were enrolled and their electroencephalogram (EEG) data were collected at the time of the initial diagnosis. During 18-month follow-up period, 42 individuals progressed to AD (PMCI), while 65 remained in the aMCI stage (SMCI). Spectral, nonlinear, and functional connectivity features were extracted from the EEG data, subjected to feature selection and dimensionality reduction, and then fed into various machine learning classifiers for discrimination. The performance of each model was assessed using 10-fold cross-validation and evaluated in terms of accuracy (ACC), area under the curve (AUC), sensitivity (SEN), specificity (SPE), positive predictive value (PPV), and F1-score. RESULTS: Compared to SMCI patients, PMCI patients exhibit a trend of ""high to low"" frequency shift, decreased complexity, and a disconnection phenomenon in EEG signals. An epoch-based classification procedure, utilizing the extracted EEG features and k-nearest neighbor (KNN) classifier, achieved the ACC of 99.96%, AUC of 99.97%, SEN of 99.98%, SPE of 99.95%, PPV of 99.93%, and F1-score of 99.96%. Meanwhile, the subject-based classification procedure also demonstrated commendable performance, achieving an ACC of 78.37%, an AUC of 83.89%, SEN of 77.68%, SPE of 76.24%, PPV of 82.55%, and F1-score of 78.47%. CONCLUSION: Aiming to explore the EEG biomarkers with predictive value for AD in the early stages of aMCI, the proposed discriminant framework provided robust longitudinal evidence for the trajectory of the aMCI cases, aiding in the achievement of early diagnosis and proactive intervention.",Frontiers in aging neuroscience
39967600,"Long non-coding RNAs in humans: Classification, genomic organization and function.","Long non-coding RNAs (lncRNAs) regulate numerous biological functions in animals. Despite recent advances in lncRNA research, their structural and functional annotation and classification remain an ongoing challenge. This review provides a comprehensive overview of human lncRNAs, highlighting their genomic organization, mode of action and role in physiological and pathological processes. Subgroups of lncRNA genes are discussed using representative examples and visualizations of genomic organization. The HUGO Gene Nomenclature Committee (HGNC) categorizes lncRNAs into nine subgroups: (1) microRNA non-coding host genes, (2) small nucleolar RNA non-coding host genes, (3) long intergenic non-protein coding RNAs (LINC), (4) antisense RNAs, (5) overlapping transcripts, (6) intronic transcripts, (7) divergent transcripts, (8) long non-coding RNAs with non-systematic symbols and (9) long non-coding RNAs with FAM root systems. Circular RNAs (circRNAs) are a separate class that shares some characteristics with lncRNAs and are divided into exonic, intronic and intronic-exonic types. LncRNAs act as molecular signals, decoys, scaffolds and sponges for microRNAs and often function as competing endogenous RNAs (ceRNAs). LncRNAs are involved in various physiological and pathological processes, such as cell differentiation, p53-mediated DNA damage response, glucose metabolism, inflammation and immune functions. They are associated with several diseases, including various types of neoplasms, Alzheimer's disease and autoimmune diseases. A clear classification system for lncRNA is essential for understanding their biological role and for facilitating practical applications in biomedical research. Future studies should focus on drug development and biomarker discovery. As important regulators of various biological processes, lncRNAs represent promising targets for innovative therapies.",Non-coding RNA research
39988983,Longitudinal patterns of brain aging and neurodegeneration among older adults with dual decline in memory and gait.,"INTRODUCTION: Dual cognitive and mobility decline is more strongly associated with dementia risk than cognitive decline only. It remains unknown whether this syndrome is associated with brain atrophy patterns, white matter (WM) damage, or pathology. METHODS: In the Baltimore Longitudinal Study of Aging participants with and without dual decline, we used linear mixed-effects models to compare up to 13-year longitudinal changes in MRI-derived atrophy patterns, WM hyperintensities (n = 339), microstructure (n = 307), plasma glial fibrillary acidic protein (GFAP), neurofilament light chain (NfL), amyloid beta 42/40 (Aβ(42/40)) ratio (n = 349), and phosphorylated tau 181 (pTau181) (n = 258). RESULTS: Those experiencing dual decline showed accelerated atrophy in medial temporal (p = .004), parietotemporal (p = .029), and perisylvian regions (p = .028), whereas gait decline only showed accelerated parietotemporal atrophy (p = .035) and memory decline only showed perisylvian atrophy (p = .021). Dual decline was also associated with unique microstructural deterioration in several WM tracts (p < .05), a greater decrease in Aβ(42/40) ratio (p = .015), and greater increases in GFAP (p = .009) and NfL (p < .001). DISCUSSION: Individuals experiencing dual decline are at an increased risk for regional brain atrophy, microstructural degradation, and biomarker-defined molecular changes underlying dementia. HIGHLIGHTS: Those experiencing dual decline showed several accelerated brain atrophy patterns. Those experiencing dual decline showed unique microstructural deterioration. Dual decline showed a greater decline in plasma Aβ(42/40) ratio. Dual decline showed greater increases in plasma GFAP and NfL. Dual decline may indicate brain and blood markers underlying dementia.",Alzheimer's & dementia : the journal of the Alzheimer's Association
39759950,The problem of multiple adjustments in the assessment of minimal clinically important differences.,"INTRODUCTION: Anthropometric, demographic, genetic, and clinical features may affect cognitive, behavioral, and functional decline, while clinical trials seldom consider minimal clinically important differences (MCIDs) in their analyses. METHODS: MCIDs were reviewed taking into account features that may affect cognitive, behavioral, or functional decline in clinical trials of new disease-modifying therapies. RESULTS: The higher the number of comparisons of different confounders in statistical analyses, the lower P values will be significant. Proper selection of confounders is crucial to accurately assess MCIDs without compromising statistical significance. DISCUSSION: Statistical adjustment of the significance of MCIDs according to multiple comparisons is essential for the generalizability of research results. Wider inclusion of confounding variables in the statistics may help bring trial results closer to real-world conditions and improve the prediction of the efficacy of new disease-modifying therapies, though such factors must be carefully selected not to compromise the statistical significance of the analyses. HIGHLIGHTS: Anthropometric, demographic, and clinical features may affect cognitive, behavioral, and functional decline.Clinical trials seldom take minimal clinically important differences (MCIDs) or their confounders into account.Generalizability of research results requires the assessment of multiple confounding factors.The higher the number of comparisons involved, the lower P values will be considered significant.Use of MCIDs adjusted for confounding factors should be implemented when outcomes are not susceptible to translation into absolute benefits.","Alzheimer's & dementia (New York, N. Y.)"
40330593,Early identification of mild cognitive impairment: an innovative model using ocular biomarkers.,"BACKGROUND: Alzheimer's disease (AD) is a neurodegenerative disorder characterized by progressive, irreversible brain damage. Current diagnostic procedures for AD are both costly and highly invasive for patients. Age-related cataract (ARC), a common ocular condition in elderly populations, correlates with a 1.43-fold increased risk of developing AD. This study sought to establish a novel model for early detection of mild cognitive impairment (MCI) in patients with ARC. METHODS: The study prospectively collected 170 monocular data as training dataset and 65 monocular data from another independent medical center as test dataset. Demographic data and comprehensive ophthalmic examination results were collected. The least absolute shrinkage and selection operator (LASSO) method and multivariate logistic regression analysis were performed using R software for dimensionality reduction and variable selection. A nomogram was constructed, and its discriminative ability was evaluated using receiver operating characteristic (ROC) curve, area under the ROC curve (AUC) with 95% confidence interval (CI), as well as sensitivity and specificity. Internal validation was performed using 1,000-resample bootstrap analysis, while model calibration was assessed through calibration curves and Brier scores. Decision curve analysis (DCA) was performed to evaluate clinical utility. A baseline model incorporating demographic variables was developed for comparison with the nomogram. Additionally, an external dataset from an independent medical center was employed as a test set to further validate the nomogram's predictive performance. An online calculator was created using the ""DynNom"" and ""rsconnect"" functions. RESULTS: Through LASSO regression and multivariate logistic regression analyses, six variables were identified and incorporated into the nomogram: age (OR: 1.097; 95%CI: 1.041-1.161; p < 0.001), years of education (OR: 0.333; 95%CI: 0.140-0.749; p = 0.010), diastolic blood pressure (OR: 0.949; 95%CI: 0.907-0.990; p = 0.019), short posterior ciliary artery flow rate (OR: 1.063; 95%CI: 1.008-1.132; p = 0.038), vertical cup-to-disc ratio (OR: 11.927; 95%CI: 1.059-155.308; p = 0.049), and peripapillary retinal nerve fiber layer thickness (inferior; OR: 0.979; 95%CI: 0.964-0.993; p = 0.005). The nomogram demonstrated strong discriminatory power for the diagnosis of MCI, with the area under the ROC curve reaching 0.791 (95%CI: 0.722-0.864) in the training dataset and 0.750 (95%CI: 0.627-0.858) in the external dataset. Calibration curve validation showed good agreement between predicted and ideal probabilities (p > 0.05, Brier score = 0.171). DCA indicated substantial net benefit across most threshold probabilities in both training and test datasets, supporting the nomogram's clinical utility. CONCLUSION: Through systematic analysis of clinical data, this study established and validated a novel online calculator for identifying early cognitive impairment in patients with ARC, using demographic and ocular biomarkers, thereby providing a visual representation of the prediction model.",Frontiers in aging neuroscience
39892529,UK Biobank MRI data can power the development of generalizable brain clocks: A study of standard ML/DL methodologies and performance analysis on external databases.,"In this study, we present a comprehensive pipeline to train and compare a broad spectrum of machine learning and deep learning brain clocks, integrating diverse preprocessing strategies and correction terms. Our analysis also includes established methodologies which have shown success in prior UK Biobank-related studies. For our analysis we used T1-weighted MRI scans and processed de novo all images via FastSurfer, transforming them into a conformed space for deep learning and extracting image-derived phenotypes for our machine learning approaches. We rigorously evaluated these approaches both as robust age predictors for healthy individuals and as potential biomarkers for various neurodegenerative conditions, leveraging data from the UK Biobank, ADNI, and NACC datasets. To this end we designed a statistical framework to assess age prediction performance, the robustness of the prediction across cohort variability (database, machine type and ethnicity) and its potential as a biomarker for neurodegenerative conditions. Results demonstrate that highly accurate brain age models, typically utilising penalised linear machine learning models adjusted with Zhang's methodology, with mean absolute errors under 1 year in external validation, can be achieved while maintaining consistent prediction performance across different age brackets and subgroups (e.g., ethnicity and MRI machine/manufacturer). Additionally, these models show strong potential as biomarkers for neurodegenerative conditions, such as dementia, where brain age prediction achieved an AUROC of up to 0.90 in distinguishing healthy individuals from those with dementia.",NeuroImage
39906488,Impact of hemolysis on the levels of proteins associated with aging and age-related neurodegenerative diseases in a multicentric clinical research.,"INTRODUCTION: Hemolysis is a known interference factor that has been found to show erroneous effect. Present study analyzes the impact of hemolysis on the concentrations of protein biomarkers of Alzheimer's disease (Aβ42, t-Tau, p-Tau181) along with novel proteins which are currently under investigation (SIRT1,SIRT2,SIRT6,FOXO3A, NFL, Aβ40, GFAP). METHODS: Plasma samples were grouped into two categories: hemolyzed and non-hemolyzed groups. Degree of hemolysis (in percentage) was separately analyzed using Single molecule array (SIMOA) technology. Quantitative analysis for hemolyzed and non-hemolyzed samples were done using surface plasmon resonance (SPR) technology. RESULTS: The SIMOA analysis indicated that at high levels of hemolysis (1000 mg/dL) there was an increase in NFL protein level up to approximately 30 % whereas p-Tau181 did not show much interference even at higher hemolysate concentration. Aβ40, Aβ42 and GFAP showed modest effect up to hemolysis of 250mg/dL-500 mg/dL. SPR analysis of total Tau (t-Tau), p-Tau181, SIRT1, SIRT6 showed the consistency in the result and there was no significant difference in hemolyzed plasma compared to non-hemolyzed samples. Aβ42 and FOXO3A showed decline in hemolyzed plasma compared to non-hemolyzed samples (4.34 ± 0.18ng/ul; 4.95 ± 0.19ng/ul) and (3.83 ± 0.34ng/ul; 5.12 ± 0.46ng/ul), respectively whereas, a significant increase in the concentration was observed for SIRT2; 2.4 ± 0.10ng/ul in hemolyzed compared to 1.30 ± 0.22ng/ul in non-hemolyzed group. CONCLUSIONS: High grade hemolysis leads to altered protein concentration associated with neurodegeneration. Present study emphasizes the need to have pre-analytical inspection for hemolysis detection especially in a multicentric biomarker study.",Practical laboratory medicine
40489451,From eyes' microtremors to critical flicker fusion.,"The critical flicker fusion threshold (CFFT) is the frequency at which a flickering light source becomes indistinguishable from continuous light. The CFFT is an important biomarker of health conditions, such as Alzheimer's disease and epilepsy, and is affected by factors as diverse as fatigue, drug consumption, and oxygen pressure, which make CFFT individual- and context-specific. Other causal factors beyond such biophysical processes are still to be uncovered. We investigate the connection between CFFT and specific eye-movements, called microtremors, which are small oscillatory gaze movements during fixation periods. We present evidence that individual differences in CFFT can be accounted by microtremors, and design an experiment, using a high-frequency monitor and recording the participant's eye-movements with an eye-tracker device, which enables to measure the range of frequencies of a specific individual's CFFT. Additionally, we introduce a classifier that can predict if the CFFT of specific participant lies in the range of high or low frequencies, based on the corresponding range of frequencies of eyes' microtremors. Our results show an accuracy of [Formula: see text] for a frequency threshold of 60 Hz and [Formula: see text] for a threshold of 120 Hz.",PloS one
39974029,Evaluation of plasma p-tau217 for detecting amyloid pathology in a diverse and heterogeneous community-based cohort.,"INTRODUCTION: Studies suggest excellent performance of plasma p-tau217 for detecting amyloid pathology, though studies in more diverse populations are needed to validate previously determined cutpoints. METHODS: Plasma p-tau217 utility for detecting amyloid pathology (Aβ) via amyloid PET (n=598) and/or cerebrospinal fluid (CSF; n=154) was assessed in a heterogeneous, community-based cohort in the Wake Forest Alzheimer's Disease Research Center (WFADRC). Participants (n=598) were 21% Black; 313 cognitive unimpaired (CU), 214 mild cognitive impairment (MCI), and 64 dementia (DEM); 49% prediabetic, 44% hypertensive; 29% overweight/obese; and 64% with mild-to-moderate kidney disease. Gaussian-mixture models, logistic regression, and receiver operating curve analyses were performed. RESULTS: Plasma p-tau217 was associated with elevated Aβ deposition and accurately classified Aβ-positive participants (PET: AUC: 94%-97%, cutpoint≥.338 pg/mL; CSF: AUC = .84, cutpoint≥.307 pg/mL). DISCUSSION: Plasma p-tau217 is an accurate indicator of amyloid pathology in a heterogeneous cohort, and superior to other plasma biomarkers assessed. Longitudinal analyses assessing impact of comorbidities on p-tau217 utility for disease progression are underway.",medRxiv : the preprint server for health sciences
39877089,Cerebrospinal Fluid (CSF) Proteomic Signature in Preclinical and Clinical Alzheimer's disease (AD): Role of Adhesion Molecules.,"BACKGROUND: Although Amyloid-beta and Tau are the hallmarks of Alzheimer's Disease (AD), other protein pathways such as endothelial dysfunction may be involved and may precede cognitive symptoms. Our objective was to characterize the cerebrospinal fluid (CSF) proteomic profiles focusing on cardiometabolic-related protein pathways in individuals on the AD spectrum. METHODS: We performed CSF and plasma-targeted proteomics (276 proteins) from 354 participants of the Brain Stress Hypertension and Aging Program (BSHARP), of which 8% had preclinical AD, and 24% had MCI due to AD. We instituted a bioinformatic pipeline to generate data-driven protein modules, used ""Hub"" and ""Critical"" proteins within each module to describe protein signatures for each AD stage and then assessed their associations with clinical and biological AD traits. Finally, we completed pathway enrichment analysis to get insight into pathways that might be implicated in AD pathogenesis. RESULTS: The 276 measured proteins clustered into five modules that were associated with CSF Amyloid-β42, Tau, and pTau. (all p-value <0.05). A CSF protein AD signature was characterized by elevated levels of CSF Hepatocyte Growth Factor (HGF), Intercellular and Vascular Cell Adhesion Molecule 1 (ICAM-1, VCAM-1), Neuropilin 1 and 2 (NRP-1, NRP-2), Scavenger Receptor Class B Member 2(SCARB2), Plasminogen Activator, Urokinase (PLAU). (all <0.05) We also found a significant difference in the CSF/Plasma ratio for the proteins associated with Cognitive Status and the Tau/Aβ42 ratio (TAR) in the CSF. Pathway enrichment analysis revealed that cell adhesion and endothelial dysfunction (all p-value <0.05) were key mechanisms involved in AD pathogenesis, especially in the preclinical stage. CONCLUSION: Our results suggest a proteomic signature in the CSF of individuals with preclinical AD that is driven by adhesion molecules and might be implicated in the pathogenesis of AD. Future studies investigating these pathways may provide insights into novel AD biomarkers and therapeutic targets.",Research square
40496973,"Protocol of a randomized, single-blind, controlled trial of an 18-month, home-based, high-intensity, exercise intervention in older, cognitively unimpaired APOE ε4 carriers.","BACKGROUND: The World Health Organization highlighted the potential protective role of exercise against cognitive decline, all-cause dementia, Alzheimer's disease (AD), and vascular dementia in healthy individuals. We have previously shown that exercise is particularly beneficial for older, cognitively unimpaired apolipoprotein E4 (APOE ε4) carriers. A key unanswered question is whether a long-term, high-intensity aerobic exercise intervention initiated in a cohort of previously inactive older individuals at genetic risk for AD has neuroprotective properties. DESIGN: CYCLE-AD is a randomized, single-blind, single-center, controlled trial of a home-based, high-intensity exercise intervention involving 150 older ε4 carriers (ages 65-80 years) who are healthy, cognitively unimpaired, and physically inactive. Participants are randomized into two groups: indoor cycling (IC) or usual and customary care (UCC) (target of 75 each). IC participants exercise 3×/week on an upright stationary cycle ergometer at a moderate-vigorous intensity for 18 months. Those in the UCC group are expected to maintain enrollment levels of activity. OUTCOMES: Comparison of IC and UCC groups on change in primary and secondary outcomes over baseline, 9-month, and 18-month evaluations. Primary outcomes are VO(2peak) (Fitness), 5-trial total recall on the Rey Auditory Verbal List Learning Test (Episodic Memory), and total hippocampal volume derived from structural MRI (Brain Atrophy). Secondary outcomes include comprehensive neurocognitive and physical function test batteries, MRI scans including structural and functional connectivity measures, and blood-based biomarkers. HYPOTHESES: Over an 18-month interval, physically inactive ε4 carriers who engage in high-intensity aerobic exercise will demonstrate less cognitive decline and hippocampal atrophy than physically inactive ε4 carriers who did not participate in a formal exercise program. CONCLUSION: Successful demonstration of a scalable, home-based, high-intensity aerobic exercise intervention in altering the trajectory of AD pathophysiology and its effects on cognitive functioning will transform AD treatment, improve patient outcomes and quality of life, and reduce healthcare costs.",Frontiers in aging neuroscience
39844123,The proof is in the pudding: patient engagement in studying cannabidiol in mild cognitive impairment.,"BACKGROUND: Patient engagement (PE) in clinical trials has gained importance yet remains uncommon, particularly in patients with mild cognitive impairment (MCI), a critical precursor to Alzheimer's disease (AD). Cannabidiol (CBD) shows potential in slowing MCI progression due to its neuroprotective and anti-inflammatory properties. In CBD research, PE is underutilized too. To design a study on CBD for MCI, we administered an online survey to individuals with MCI to better understand their preferences for trial setup and outcomes. METHODS: We asked 209 individuals with MCI to complete an online survey assessing (i) willingness to participate in a trial using CBD; (ii) importance of improvements in various domains; (iii) acceptance of adverse events (AEs); (iv) reasons for AE-related dropout; (v) willingness to undergo blood sampling and lumbar puncture to assess AD pathology; and (vi) willingness to participate in a trial with a 50% chance of receiving a placebo. Data were analyzed with descriptive statistics. RESULTS: N = 118 agreed to participate and N = 88 completed the survey. Participants prioritized improvement in cognitive abilities (87.5%), followed by quality of life (63.6%), daily activities (55.7%), sleep (55.7%), pain (52.3%), mood (52.3%), behavior (48.9%), and anxiety (43.2%). Headache (55.7%) was the least accepted AE followed by nausea (46.6%), fatigue (35.2%), and diarrhea (35.2%). Persistent diarrhea (90.9%) and severe fatigue (84.1%) were the main reasons for potential dropout. While most would undergo blood sampling (67.0%), only a minority (21.6%) would accept lumbar puncture. One-third were ready to participate (34.1%), while 54.5% were interested pending details. Among those in favor of participation, 71.6% would participate even with a 50% chance of placebo. CONCLUSIONS: Our study identified cognitive improvement as highly relevant for patients, indicating cognitive assessment tools as primary endpoints in MCI research. Given concerns about AEs, dose titration should be carefully considered to enhance acceptance and prevent AEs. Blood sampling seems well-accepted for AD biomarker assessment. Despite potential AEs, participation in a trial using CBD for MCI is seen as attractive, even under placebo-controlled conditions. This cross-sectional study emphasizes the importance of patient engagement in designing high-quality trials for using CBD to treat MCI.",BMC complementary medicine and therapies
40510267,Analysis of neuronal cardiolipin and monolysocardiolipin from biological samples with cyclic ion mobility mass spectrometry.,"The mitochondrial phospholipid cardiolipin (CL) is essential for proper mitochondrial function and energy production. Cardiolipin has four distinct fatty acid tails with varying expression compositions, resulting in a highly variable tissue-specific distribution of isomer expression. Neuronal cardiolipin has a remarkable variety of subspecies and has recently been used as a biomarker to predict brain injury severity following cardiac arrest and traumatic brain injury. Multiple conditions have been associated with disordered cardiolipin remodeling, including Alzheimer's disease, Parkinson's disease, Barth syndrome, and astrocytoma. The clinical relevance of cardiolipin as a biomarker and the importance of the mechanistic role of cardiolipin remodeling in disease emphasize the demand for a reliable and accurate means of the identification and quantification of cardiolipin. In this study, we outline the use of a novel method of cardiolipin analysis using cyclic ion mobility mass spectrometry (cIMS-MS) to isolate and identify cardiolipin subspecies in several biological samples. Furthermore, cIMS-MS established the composition of the cardiolipin profile by individual subspecies across biological samples under basal conditions. Monolysocardiolipin (MLCL), the precursor of mature cardiolipin and a primary diagnostic biomarker of Barth syndrome, was isolated from cardiolipin and identified. The monolysocardiolipin:cardiolipin ratio was quantified in brain samples from tafazzin-knockout (KO) mice, demonstrating accumulation of MLCL and providing direct evidence for the validity of this cIMS-MS methodology through genetic loss-of-function. The novel, multiple-pass feature of cIMS-MS enabled the isolation and amplification of less abundant cardiolipin subspecies in both standards and biological samples. This protocol enables rapid analysis of biological samples, allowing researchers to further dissect the mechanistic role of cardiolipin in injury pathology, with simplified sample preparation and reduced potential for artifact introduction.",Frontiers in physiology
39973938,"Systematic review of bidirectional interaction between gut microbiome, miRNAs, and human pathologies.","MicroRNAs (miRNAs) and the gut microbiome are key regulators of human health, with emerging evidence highlighting their complex, bidirectional interactions in chronic diseases. miRNAs, influence gene expression and can modulate the composition and function of the gut microbiome, impacting metabolic and immune processes. Conversely, the microbiome can affect host miRNA expression, influencing inflammatory pathways and disease susceptibility. This systematic review examines recent studies (2020-2024) focusing exclusively on human subjects, selected through rigorous inclusion and exclusion criteria. Studies were included if they investigated the interaction between miRNAs and the gut microbiome in the context of gastrointestinal diseases, obesity, autoimmune diseases, cognitive and neurodegenerative disorders, and autism. In vitro, in vivo and in silico analyses were excluded to ensure a strong translational focus on human pathophysiology. Notably, miRNAs, stable and abundant in patients, are emerging as promising biomarkers of microbiome-driven inflammation. This systematic review provides an overview of miRNAs, their regulatory effects on bacterial strains, and their associations with specific diseases. It also explores therapeutic advances and the potential of miRNA-based therapies to restore microbial balance and reduce inflammation.",Frontiers in microbiology
39714176,"Prognostic serum biomarkers of synaptic, neuronal and glial injury in patients with acute ischemic stroke of the anterior circulation.","BACKGROUND: We aimed to investigate the prognostic role of β-synuclein in comparison to that of neurofilament light chain (NfL) and glial fibrillary acidic protein (GFAP) for predicting functional outcome after acute ischemic stroke (AIS). METHODS: We measured serum concentrations of β-synuclein, NfL and GFAP 24 h after hospital admission in 213 consecutive patients with moderate-to-severe AIS. We investigated the association between serum biomarkers and radiological/clinical characteristics, 3-months mortality and functional outcome on the modified Rankin Scale (mRS). RESULTS: In 213 patients with AIS [mean age: 76.1 (±12.5) years, 53.1% males, median NIHSS score on admission: 13 (IQR: 9-17)], higher levels of β-synuclein, NfL and GFAP were associated with higher NIHSS scores and with lower Alberta Stroke Program CT Score (ASPECTS) points on admission. Serum β-synuclein levels was significantly correlated with NfL (rho = 0.715, p < 0.001) and GFAP concentrations (rho = 0.684, p < 0.001). The inclusion of serum β-synuclein significantly improved the accuracy of prediction models without biomarkers for overall mortality (AUC: 0.836 vs. 0.752, p < 0.001) and mRS 3-6 vs. 0-2 (AUC: 0.812 vs. 0.624, p < 0.001). Combination models with NfL and/or GFAP showed a similar accuracy. CONCLUSIONS: Serum β-synuclein may be used to assess synaptic damage/dysfunction and to predict 3-months clinical outcomes in patients with AIS.",European journal of neurology
40034509,Effects of caregiving burden on serum homocysteine and folate levels in spouses of patients with cognitive impairment.,"BACKGROUND: Spousal caregivers (SCGs) of patients with cognitive impairment are predisposed to an elevated risk of cardiovascular disease and cognitive decline. Homocysteine and folate levels are potential modifiable biomarkers for these risks, given their associations with cardiovascular and cognitive health. OBJECTIVE: This study aimed to examine the association of the caregiving burden with homocysteine and folate levels in SCGs. METHODS: This study included 107 SCGs and their care recipients who visited the Chungnam National University Hospital between May 2020 and May 2023. The caregiving burden was quantified using the Zarit Burden Interview, and blood assays were performed after overnight fasting. We adjusted for the age and sex of SCGs and the clinical diagnosis of care recipients as covariates. RESULTS: The caregiving burden of SCGs showed a significant positive correlation with their homocysteine level (β = 0.219, t = 2.165, p = 0.033). In contrast, caregiving burden and folate showed an inverse correlation (β = -0.207, t = -1.997, p = 0.049). Furthermore, the association between caregiving burden and homocysteine levels remained significant after including vascular risk score and physical activity level as covariates (p = 0.042). CONCLUSIONS: Our findings indicate that the caregiving burden of SCGs in individuals with cognitive impairment is associated with elevated homocysteine levels and low folate levels, potentially exacerbating the risk of cardiovascular disease and cognitive decline. These findings underscore the importance of monitoring homocysteine and folate as modifiable biomarkers to address and potentially mitigate health risks in SCGs.",Journal of Alzheimer's disease reports
39935870,"Hypertension moderates the relationship between plasma beta-amyloid and cognitive impairment: a cross-sectional study in Xi'an, China.","BACKGROUND: Plasma beta-amyloid (Aβ) are important biomarkers for Alzheimer's disease and cognitive impairment (CI), but results are controversial. It remains unclear whether hypertension modulates their relationship. This cross-sectional study investigates whether hypertension moderates the relationship between plasma Aβ and cognitive impairment (CI). METHODS: This cross-sectional study included 1488 subjects ≥ 40 years from rural areas of northwestern China. CI was defined as a Mini-Mental State Examination score lower than the cutoff. Firstly, plasma Aβ(40), Aβ(42), Aβ(42)/Aβ(40) were analyzed as restricted cubic spline. Then, categories of combined plasma Aβ were created by making bisection of plasma Aβ according to average and combining them as L-Aβ(40) and L-Aβ(42), H-Aβ(40) and L-Aβ(42), L-Aβ(40) and H-Aβ(42), H-Aβ(40) and H-Aβ(42). Decreased plasma Aβ(40) was defined as < 25th percentile. Multivariate logistic regression examined the relationship between plasma Aβ and CI in total population, the hypertension subgroup and the non-hypertension subgroup. RESULTS: 737 participants (49.5%) had hypertension and 189 participants (12.7%) had CI. Simultaneously elevated plasma Aβ(40) and Aβ(42) was associated with CI in hypertension (H-Aβ(40) and H-Aβ(42) vs. L-Aβ(40) and L-Aβ(42), 21.1% vs.10.7%, P = 0.033; OR = 1.984 [95% CI, 1.067-3.691], P = 0.030) but not in the non-hypertension. Decreased plasma Aβ(40) was associated with CI in the non-hypertension (14.9% vs. 9.2%, P = 0.026; OR = 1.728 [95% CI, 1.018-2.931], P = 0.043) but not in the hypertension. CONCLUSION: Hypertension is an important modulator in the relationship between plasma Aβ and CI. Simultaneously elevated plasma Aβ(40) and Aβ(42) in the hypertension, and decreased plasma Aβ(40) in the non-hypertension, may be risk factors for CI. These findings emphasize the need to consider hypertension in CI detection.",Frontiers in aging neuroscience
40264648,Associations between blood selenium and serum neurofilament light chain: results of a nationwide survey.,"BACKGROUND: Selenium (Se) is essential for many nervous system functions including memory, cognition and coordination, which has also been linked to a variety of neurological disorders, such as epilepsy, Alzheimer's disease (AD) and Parkinson's disease (PD). Serum neurofilament light chain (sNfL) is a biomarker of neurologic diseases. Studies on the relationship between blood Se and sNfL are limited. METHODS: The National Health and Nutrition Examination Survey (NHANES) 2013-2014 data were employed to perform multivariate linear regression analysis and smooth curve fitting in order to investigate the relationship between blood Se and sNfL. Utilizing subgroup analyses and interaction tests, the stability of this relationship between populations was evaluated. RESULTS: sNfL and blood Se had an inverse relationship in 1,036 individuals who were older than 20. According to the fully adjusted model, the sNfL decreased by 54.75 pg./mL for every unit increase in log blood Se [β = -54.75, 95% CI (-75.36, -34.14)]. The sNfL of individuals in the highest blood Se quartile decreased by 3.4 pg./mL in comparison to those in the lowest quartile [β = -3.40, 95% CI (-6.47, -0.32)]. This inverse association was more significant in those who were younger than 60 years old, male, normal weight, had a history of smoking and drinking. CONCLUSION: Blood Se is inversely associated with sNfL in American adults. Our findings indicate that blood Se may have a potential protective effect against neuronal damage.",Frontiers in neurology
40115030,Glymphatic function decline as a mediator of core memory-related brain structures atrophy in aging.,"BACKGROUND AND OBJECTIVES: This study aimed to elucidate the role of the glymphatic system-a crucial pathway for clearing waste in the brain-in the aging process and its contribution to cognitive decline. We specifically focused on the diffusion tensor imaging analysis along the perivascular space (ALPS) index as a noninvasive biomarker of glymphatic function. METHODS: Data were drawn from the Alzheimers Disease Neuroimaging Initiative (ADNI) database and a separate validation cohort to analyze the ALPS index in cognitively normal older adults. The relationships among the ALPS index, brain morphometry, and memory performance were examined. RESULTS: As a biomarker of glymphatic function, the ALPS index appeared to decline with age in both cohorts. According to the brain morphology analysis, the ALPS index was positively correlated with the thickness of the left entorhinal cortex (r = 0.258, P (false discovery rate (FDR)) = 2.96 × 10(-4)), and it played a mediating role between aging and left entorhinal cortex thinning. The independent cohort further validated the correlation between the ALPS index and the left entorhinal cortex thickness (r = 0.414, P (FDR) = 0.042). Additionally, in both the primary and validation cohorts, the ALPS index played a significant mediating role in the relationship between age and durable or delayed memory decline. CONCLUSION: This study highlights the ALPS index as a promising biomarker for glymphatic function and links it to atrophy of the core memory brain regions during aging. Furthermore, these results suggest that targeting glymphatic dysfunction could represent a novel therapeutic approach to mitigate age-related memory decline.",Journal of translational internal medicine
